total_loss	policy_loss	value_loss	entropy_loss	kl_divergence	
41.366875	41.368656	718.580261	0.001783	58.424507	
41.366875	45.574100	41.368656	45.575821	718.580261	
895.540405	0.001783	0.001719	58.424507	160.137024	
41.366875	45.574100	32.194309	41.368656	45.575821	
32.195789	718.580261	895.540405	643.296692	0.001783	
0.001719	0.001478	58.424507	160.137024	621.958069	
41.366875	45.574100	32.194309	-0.250336	41.368656	
45.575821	32.195789	-0.249454	718.580261	895.540405	
643.296692	1128.676025	0.001783	0.001719	0.001478	
0.000882	58.424507	160.137024	621.958069	1963.284912	
41.366875	45.574100	32.194309	-0.250336	3.763231	
41.368656	45.575821	32.195789	-0.249454	3.763489	
718.580261	895.540405	643.296692	1128.676025	1531.170776	
0.001783	0.001719	0.001478	0.000882	0.000258	
58.424507	160.137024	621.958069	1963.284912	inf	
41.366875	45.574100	32.194309	-0.250336	3.763231	
0.529712	41.368656	45.575821	32.195789	-0.249454	
3.763489	0.529818	718.580261	895.540405	643.296692	
1128.676025	1531.170776	179.145493	0.001783	0.001719	
0.001478	0.000882	0.000258	0.000106	58.424507	
160.137024	621.958069	1963.284912	inf	0.000000	
