Training began at: 2018-01-01
Training completed at: 
A2C algorithm
Number of Products 6
State Setting: INV_BALANCE_PRODUCTION
Reward function: OTD1
Planning Time Horizon = 7
Random seed: 
==============================================================================
Episode Results: 
total_reward	on_time	late	not_shipped	
0.675000	0.917241	0.062069	0.020690	
0.699074	0.858108	0.101351	0.040541	
0.679630	0.883562	0.089041	0.027397	
0.720741	0.882759	0.096552	0.020690	
0.716667	0.896552	0.082759	0.020690	
0.722222	0.903448	0.075862	0.020690	
0.677407	0.910959	0.061644	0.027397	
0.727778	0.861111	0.125000	0.013889	
0.690741	0.911565	0.054422	0.034014	
0.733333	0.924138	0.055172	0.020690	
0.720370	0.897959	0.068027	0.034014	
0.706481	0.885135	0.074324	0.040541	
0.688889	0.930556	0.055556	0.013889	
0.645185	0.876712	0.095890	0.027397	
0.657407	0.875862	0.103448	0.020690	
0.744444	0.916667	0.069444	0.013889	
0.707407	0.877551	0.088435	0.034014	
0.670556	0.874126	0.097902	0.027972	
0.703704	0.868966	0.110345	0.020690	
0.696296	0.875000	0.111111	0.013889	
0.725926	0.916667	0.069444	0.013889	
0.718519	0.865772	0.087248	0.046980	
0.705556	0.944056	0.048951	0.006993	
0.742593	0.951389	0.034722	0.013889	
0.757407	0.894737	0.039474	0.065789	
0.592593	0.781690	0.218310	0.000000	
0.746296	0.937931	0.041379	0.020690	
0.725000	0.917241	0.062069	0.020690	
0.722222	0.898649	0.060811	0.040541	
0.635185	0.794521	0.061644	0.143836	
0.653333	0.818182	0.125874	0.055944	
0.711296	0.883562	0.089041	0.027397	
0.724074	0.917241	0.062069	0.020690	
0.627593	0.776224	0.111888	0.111888	
0.661111	0.916667	0.069444	0.013889	
0.712963	0.911565	0.054422	0.034014	
0.735926	0.883562	0.041096	0.075342	
0.606746	0.790210	0.069930	0.139860	
0.639815	0.902778	0.083333	0.013889	
0.696296	0.838926	0.080537	0.080537	
0.724074	0.923611	0.041667	0.034722	
0.627778	0.843537	0.102041	0.054422	
0.601481	0.718310	0.063380	0.218310	
0.526111	0.710345	0.034483	0.255172	
0.727037	0.902098	0.076923	0.020979	
0.744444	0.904110	0.068493	0.027397	
0.727778	0.931973	0.034014	0.034014	
0.720370	0.895833	0.034722	0.069444	
0.711111	0.916667	0.069444	0.013889	
0.659815	0.801370	0.041096	0.157534	
0.475926	0.612245	0.068027	0.319728	
0.366667	0.482759	0.068966	0.448276	
0.452037	0.594406	0.062937	0.342657	
0.704630	0.815068	0.034247	0.150685	
0.596111	0.741259	0.055944	0.202797	
0.590635	0.692308	0.041958	0.265734	
0.724074	0.863014	0.054795	0.082192	
0.550000	0.719178	0.082192	0.198630	
0.395926	0.441379	0.089655	0.468966	
0.615370	0.783217	0.069930	0.146853	
0.256667	0.319728	0.027211	0.653061	
0.399815	0.475862	0.041379	0.482759	
0.196667	0.229167	0.013889	0.756944	
0.440000	0.531469	0.062937	0.405594	
0.329630	0.317241	0.034483	0.648276	
0.599074	0.724138	0.075862	0.200000	
0.355000	0.406897	0.048276	0.544828	
0.567778	0.709459	0.054054	0.236486	
0.256852	0.312500	0.027778	0.659722	
0.372315	0.482759	0.013793	0.503448	
0.394630	0.448276	0.082759	0.468966	
0.319259	0.402778	0.013889	0.583333	
0.577778	0.657534	0.034247	0.308219	
0.540926	0.704225	0.049296	0.246479	
0.253519	0.367347	0.027211	0.605442	
0.459259	0.572414	0.041379	0.386207	
0.401852	0.520833	0.034722	0.444444	
0.256296	0.337838	0.006757	0.655405	
0.302778	0.375000	0.020833	0.604167	
0.281852	0.298611	0.055556	0.645833	
0.270741	0.345070	0.014085	0.640845	
0.279074	0.358621	0.006897	0.634483	
0.298122	0.360544	0.006803	0.632653	
0.304074	0.410959	0.068493	0.520548	
0.406667	0.472603	0.041096	0.486301	
0.309444	0.369863	0.034247	0.595890	
0.237778	0.344828	0.027586	0.627586	
0.396296	0.424658	0.034247	0.541096	
0.353704	0.472222	0.006944	0.520833	
0.355556	0.458904	0.013699	0.527397	
0.344444	0.370629	0.041958	0.587413	
0.275556	0.364865	0.020270	0.614865	
0.217778	0.279720	0.027972	0.692308	
0.451852	0.594406	0.069930	0.335664	
0.317593	0.421769	0.013605	0.564626	
0.285926	0.328671	0.069930	0.601399	
0.285926	0.326389	0.020833	0.652778	
0.368519	0.465753	0.020548	0.513699	
0.282963	0.370629	0.006993	0.622378	
0.353704	0.417808	0.034247	0.547945	
0.370370	0.444444	0.020833	0.534722	
0.409259	0.496552	0.013793	0.489655	
0.270185	0.367347	0.013605	0.619048	
0.370000	0.442177	0.054422	0.503401	
0.308148	0.409722	0.027778	0.562500	
0.260926	0.312500	0.006944	0.680556	
0.434259	0.531469	0.034965	0.433566	
0.258519	0.319444	0.013889	0.666667	
0.299630	0.349650	0.013986	0.636364	
0.280741	0.344828	0.006897	0.648276	
0.459259	0.548611	0.048611	0.402778	
0.357037	0.430556	0.020833	0.548611	
0.225926	0.263889	0.006944	0.729167	
0.301852	0.383562	0.013699	0.602740	
0.347222	0.434483	0.000000	0.565517	
0.298889	0.410959	0.034247	0.554795	
0.296296	0.333333	0.000000	0.666667	
0.316296	0.421769	0.034014	0.544218	
0.528889	0.609589	0.020548	0.369863	
0.275000	0.326389	0.013889	0.659722	
0.321296	0.410959	0.013699	0.575342	
0.316667	0.416667	0.006944	0.576389	
0.275185	0.372414	0.027586	0.600000	
0.232593	0.268456	0.013423	0.718121	
0.323704	0.414966	0.027211	0.557823	
0.298333	0.340136	0.020408	0.639456	
0.361296	0.428571	0.027211	0.544218	
0.352963	0.400000	0.020690	0.579310	
0.303889	0.369863	0.034247	0.595890	
0.422593	0.528169	0.035211	0.436620	
0.365556	0.393103	0.041379	0.565517	
0.309286	0.444444	0.006944	0.548611	
0.256944	0.349315	0.006849	0.643836	
0.339815	0.444444	0.006944	0.548611	
0.293333	0.405594	0.013986	0.580420	
0.351455	0.445946	0.013514	0.540541	
0.281667	0.321678	0.000000	0.678322	
0.591296	0.762238	0.069930	0.167832	
0.194877	0.263889	0.006944	0.729167	
0.236111	0.303448	0.027586	0.668966	
0.317407	0.365517	0.020690	0.613793	
0.307407	0.395833	0.048611	0.555556	
0.372778	0.462069	0.034483	0.503448	
0.228704	0.274648	0.014085	0.711268	
0.305952	0.361111	0.013889	0.625000	
0.319841	0.349315	0.006849	0.643836	
0.369074	0.440559	0.083916	0.475524	
0.310000	0.346939	0.013605	0.639456	
0.450370	0.573427	0.034965	0.391608	
0.412963	0.514085	0.028169	0.457746	
0.437963	0.544218	0.027211	0.428571	
0.301852	0.368056	0.020833	0.611111	
0.326111	0.395833	0.027778	0.576389	
0.343519	0.398601	0.000000	0.601399	
0.325000	0.383562	0.013699	0.602740	
0.437315	0.583333	0.069444	0.347222	
0.267593	0.296552	0.034483	0.668966	
0.299630	0.398601	0.006993	0.594406	
0.336481	0.362416	0.013423	0.624161	
0.499630	0.602740	0.041096	0.356164	
0.285847	0.338028	0.042254	0.619718	
0.319630	0.379310	0.013793	0.606897	
0.203704	0.241379	0.041379	0.717241	
0.393333	0.448276	0.055172	0.496552	
0.261481	0.328671	0.027972	0.643357	
0.301852	0.344595	0.013514	0.641892	
0.272778	0.307692	0.013986	0.678322	
0.449815	0.520548	0.034247	0.445205	
0.404444	0.469388	0.061224	0.469388	
0.370794	0.489655	0.013793	0.496552	
0.232778	0.303448	0.020690	0.675862	
0.187963	0.263889	0.020833	0.715278	
0.317037	0.386207	0.020690	0.593103	
0.170185	0.203947	0.019737	0.776316	
0.242778	0.289655	0.013793	0.696552	
0.247037	0.258741	0.013986	0.727273	
0.301296	0.365517	0.020690	0.613793	
0.249630	0.310345	0.006897	0.682759	
0.417407	0.433566	0.034965	0.531469	
0.226111	0.317241	0.000000	0.682759	
0.353704	0.413793	0.027586	0.558621	
0.491111	0.528169	0.014085	0.457746	
0.224444	0.262069	0.000000	0.737931	
0.139074	0.163265	0.020408	0.816327	
0.160556	0.217687	0.000000	0.782313	
0.298333	0.365517	0.006897	0.627586	
0.248148	0.268966	0.000000	0.731034	
0.343889	0.401408	0.014085	0.584507	
0.206178	0.239726	0.000000	0.760274	
0.326111	0.393103	0.034483	0.572414	
0.166481	0.212329	0.000000	0.787671	
0.545556	0.682759	0.048276	0.268966	
0.312037	0.333333	0.006803	0.659864	
0.260185	0.293706	0.048951	0.657343	
0.277593	0.376712	0.000000	0.623288	
0.265556	0.301370	0.006849	0.691781	
0.422963	0.506944	0.041667	0.451389	
0.217593	0.234483	0.006897	0.758621	
0.269074	0.349650	0.027972	0.622378	
0.287222	0.365517	0.013793	0.620690	
0.328386	0.400000	0.013793	0.586207	
0.265185	0.344828	0.013793	0.641379	
0.219815	0.278912	0.027211	0.693878	
0.194259	0.244755	0.034965	0.720280	
0.287963	0.369863	0.020548	0.609589	
0.181111	0.248276	0.006897	0.744828	
0.197778	0.244755	0.006993	0.748252	
0.301852	0.376712	0.006849	0.616438	
0.194630	0.278912	0.006803	0.714286	
0.377407	0.469388	0.027211	0.503401	
0.254444	0.278912	0.013605	0.707483	
0.339074	0.417808	0.054795	0.527397	
0.111111	0.127517	0.000000	0.872483	
0.410185	0.458904	0.047945	0.493151	
0.271852	0.354167	0.006944	0.638889	
0.222222	0.267123	0.013699	0.719178	
0.225000	0.277778	0.020833	0.701389	
0.284259	0.328767	0.013699	0.657534	
0.296296	0.351724	0.020690	0.627586	
0.319815	0.356643	0.041958	0.601399	
0.411111	0.493056	0.055556	0.451389	
0.169630	0.241379	0.006897	0.751724	
0.285185	0.335664	0.020979	0.643357	
0.381667	0.434483	0.041379	0.524138	
0.302090	0.347222	0.027778	0.625000	
0.224815	0.256944	0.006944	0.736111	
0.336481	0.372414	0.034483	0.593103	
0.178519	0.227586	0.000000	0.772414	
0.305556	0.349315	0.013699	0.636986	
0.271481	0.321678	0.006993	0.671329	
0.253704	0.338028	0.028169	0.633803	
0.353704	0.394558	0.006803	0.598639	
0.194074	0.229167	0.020833	0.750000	
0.210926	0.251656	0.006623	0.741722	
0.384444	0.466216	0.013514	0.520270	
0.347963	0.400000	0.013793	0.586207	
0.264815	0.272109	0.013605	0.714286	
0.197593	0.251748	0.027972	0.720280	
0.349259	0.440559	0.048951	0.510490	
0.344577	0.448276	0.006897	0.544828	
0.399471	0.465753	0.020548	0.513699	
0.263704	0.296552	0.027586	0.675862	
0.210556	0.256944	0.027778	0.715278	
0.273148	0.280000	0.020000	0.700000	
0.421296	0.452055	0.027397	0.520548	
0.399074	0.455172	0.048276	0.496552	
0.263333	0.324138	0.013793	0.662069	
0.167500	0.224490	0.000000	0.775510	
0.241667	0.285714	0.000000	0.714286	
0.268519	0.317568	0.013514	0.668919	
0.375000	0.412587	0.020979	0.566434	
0.220185	0.265306	0.006803	0.727891	
0.325926	0.347222	0.083333	0.569444	
0.407963	0.503448	0.041379	0.455172	
0.280741	0.319444	0.013889	0.666667	
0.284259	0.369863	0.034247	0.595890	
0.213095	0.280822	0.000000	0.719178	
0.282407	0.340278	0.013889	0.645833	
0.315185	0.371622	0.027027	0.601351	
0.166667	0.183673	0.013605	0.802721	
0.257407	0.331034	0.020690	0.648276	
0.266481	0.351724	0.041379	0.606897	
0.201481	0.267123	0.000000	0.732877	
0.251217	0.297297	0.020270	0.682432	
0.240741	0.293706	0.013986	0.692308	
0.123704	0.193103	0.013793	0.793103	
0.255741	0.303448	0.013793	0.682759	
0.206481	0.251701	0.054422	0.693878	
0.252778	0.363636	0.006993	0.629371	
0.225185	0.273973	0.006849	0.719178	
0.393889	0.479452	0.000000	0.520548	
0.289074	0.340136	0.034014	0.625850	
0.596852	0.736111	0.062500	0.201389	
0.290741	0.373239	0.049296	0.577465	
0.228148	0.226027	0.000000	0.773973	
0.255926	0.308219	0.013699	0.678082	
0.325741	0.358621	0.027586	0.613793	
0.217593	0.220690	0.013793	0.765517	
0.296296	0.388889	0.020833	0.590278	
0.323889	0.372414	0.020690	0.606897	
