Training began at: 2018-01-01
Training completed at: 
A2C algorithm
Number of Products 4
State Setting: INV_BALANCE_PRODUCTION
Reward function: OTD1
Planning Time Horizon = 7
Random seed: 
==============================================================================
Episode Results: 
total_reward	on_time	late	not_shipped	
0.088709	0.095879	0.673440	0.230681	
0.328912	0.297653	0.463652	0.238695	
0.266304	0.243274	0.516314	0.240412	
0.192056	0.172295	0.621637	0.206068	
0.059671	0.070120	0.705781	0.224098	
0.280923	0.252719	0.548369	0.198912	
0.190261	0.180882	0.580710	0.238409	
0.244488	0.219805	0.516886	0.263309	
0.101097	0.096165	0.665999	0.237836	
0.297055	0.285633	0.458214	0.256153	
0.226396	0.209216	0.547510	0.243274	
0.316668	0.275329	0.458214	0.266457	
0.238518	0.221236	0.530338	0.248426	
0.263906	0.238981	0.532627	0.228392	
0.138833	0.118203	0.631082	0.250716	
0.228430	0.211792	0.555238	0.232971	
0.243840	0.218661	0.541500	0.239840	
0.233750	0.209216	0.547224	0.243560	
0.020461	0.026903	0.718947	0.254150	
0.211197	0.189181	0.589010	0.221809	
0.077153	0.082141	0.705495	0.212364	
0.025526	0.025758	0.714367	0.259874	
0.234183	0.208643	0.543789	0.247567	
0.014451	0.019176	0.737264	0.243560	
0.267395	0.257584	0.546079	0.196337	
0.096192	0.078134	0.660275	0.261591	
0.091169	0.109903	0.658558	0.231540	
0.268589	0.253864	0.473383	0.272753	
0.305008	0.281912	0.511734	0.206354	
0.096713	0.090155	0.645392	0.264453	
0.229923	0.207212	0.537779	0.255009	
0.235906	0.216085	0.534058	0.249857	
0.090575	0.096737	0.636806	0.266457	
0.177654	0.182026	0.555810	0.262164	
0.234372	0.218661	0.565827	0.215512	
0.235753	0.204923	0.523469	0.271608	
0.184356	0.159416	0.641958	0.198626	
0.049762	0.058672	0.756153	0.185175	
0.020639	0.024614	0.738981	0.236405	
0.234929	0.212364	0.535776	0.251860	
0.026385	0.031196	0.754722	0.214081	
0.346333	0.301088	0.405552	0.293360	
0.102530	0.084430	0.630796	0.284774	
0.212240	0.189754	0.613623	0.196623	
0.238130	0.214654	0.537779	0.247567	
0.309124	0.275043	0.468231	0.256726	
0.060708	0.070693	0.713223	0.216085	
0.211336	0.188895	0.590155	0.220950	
0.034763	0.042645	0.715512	0.241843	
0.233046	0.213509	0.561534	0.224957	
0.215329	0.189181	0.577848	0.232971	
0.169968	0.143389	0.634803	0.221809	
0.159035	0.162278	0.613910	0.223812	
0.190060	0.154837	0.613623	0.231540	
0.244980	0.235260	0.515741	0.248998	
0.219061	0.203205	0.604179	0.192616	
0.236989	0.214367	0.513452	0.272181	
0.108246	0.091013	0.668288	0.240698	
0.251108	0.221809	0.536920	0.241271	
0.188707	0.161133	0.586720	0.252147	
0.003429	0.003721	0.744419	0.251860	
0.196413	0.170864	0.581282	0.247853	
0.259761	0.236978	0.538924	0.224098	
0.247942	0.230967	0.492845	0.276188	
0.129962	0.112765	0.643389	0.243847	
0.246989	0.230109	0.495135	0.274757	
0.178842	0.172868	0.573555	0.253578	
0.236430	0.214081	0.520034	0.265884	
0.046425	0.040641	0.713509	0.245850	
0.244980	0.217230	0.532055	0.250716	
0.030489	0.036062	0.708357	0.255581	
0.211509	0.190040	0.560675	0.249284	
0.223980	0.193475	0.566972	0.239554	
0.223521	0.192044	0.575844	0.232112	
0.081917	0.078706	0.661992	0.259302	
0.119376	0.126789	0.638809	0.234402	
0.253898	0.248712	0.494562	0.256726	
0.229191	0.208930	0.553807	0.237264	
0.012086	0.014596	0.746422	0.238981	
0.010975	0.010590	0.753291	0.236119	
0.242867	0.217516	0.557813	0.224671	
0.274138	0.262164	0.493417	0.244419	
0.207646	0.173726	0.598454	0.227819	
0.171456	0.153692	0.621065	0.225243	
0.078117	0.091299	0.657985	0.250716	
0.030421	0.035776	0.726674	0.237550	
0.163447	0.150258	0.563537	0.286205	
0.222933	0.200630	0.549800	0.249571	
0.248667	0.229536	0.533200	0.237264	
0.215492	0.190612	0.568403	0.240985	
0.151539	0.152833	0.626216	0.220950	
0.068437	0.051517	0.707785	0.240698	
0.114560	0.127361	0.629651	0.242988	
0.208592	0.183171	0.572410	0.244419	
0.247288	0.223240	0.535489	0.241271	
0.222363	0.202347	0.582141	0.215512	
0.281121	0.257871	0.520893	0.221236	
0.243275	0.217230	0.560962	0.221809	
0.262477	0.240412	0.506869	0.252719	
0.026549	0.026045	0.751002	0.222954	
0.279962	0.263309	0.497710	0.238981	
0.121211	0.126789	0.660275	0.212936	
0.011288	0.013165	0.761305	0.225529	
0.226875	0.206354	0.542645	0.251002	
0.208669	0.210074	0.499714	0.290212	
0.224918	0.197481	0.584717	0.217802	
0.062739	0.051517	0.717230	0.231254	
0.246826	0.229250	0.539782	0.230967	
0.074504	0.087865	0.662278	0.249857	
0.156624	0.161992	0.580996	0.257012	
0.237471	0.215799	0.519748	0.264453	
0.144969	0.141671	0.615341	0.242988	
0.244931	0.206926	0.553520	0.239554	
0.281448	0.273898	0.470521	0.255581	
0.232140	0.211792	0.540641	0.247567	
0.218218	0.198626	0.544934	0.256440	
0.245035	0.215799	0.582141	0.202061	
0.096836	0.103320	0.666571	0.230109	
0.290252	0.266171	0.497138	0.236691	
0.141816	0.131654	0.606468	0.261878	
0.197766	0.215512	0.565541	0.218947	
0.092620	0.106468	0.647682	0.245850	
0.142292	0.136234	0.647682	0.216085	
0.032529	0.037207	0.722667	0.240126	
0.181183	0.168861	0.592730	0.238409	
0.256750	0.231826	0.540355	0.227819	
0.131780	0.146251	0.639382	0.214367	
0.043625	0.048369	0.708930	0.242702	
0.165723	0.135089	0.632513	0.232398	
0.112303	0.117344	0.637378	0.245278	
0.104134	0.087865	0.654837	0.257298	
0.130081	0.131082	0.641958	0.226961	
0.225716	0.204064	0.565827	0.230109	
0.005785	0.006297	0.759015	0.234688	
0.216484	0.199771	0.599313	0.200916	
0.232099	0.212364	0.562106	0.225529	
0.104881	0.110761	0.674013	0.215226	
0.053781	0.073268	0.703205	0.223526	
0.254365	0.243847	0.488266	0.267888	
0.087347	0.094448	0.682026	0.223526	
0.155049	0.148827	0.637665	0.213509	
0.128760	0.116485	0.617058	0.266457	
0.222550	0.207212	0.538351	0.254436	
0.293570	0.281339	0.468804	0.249857	
0.197432	0.180882	0.633658	0.185461	
0.370243	0.341729	0.409559	0.248712	
0.239078	0.212650	0.564396	0.222954	
0.050052	0.064969	0.689754	0.245278	
0.229073	0.207499	0.553234	0.239267	
0.208208	0.195192	0.542358	0.262450	
0.173822	0.155695	0.558386	0.285919	
0.064649	0.086720	0.708071	0.205209	
0.254586	0.251288	0.536062	0.212650	
0.213636	0.198054	0.563537	0.238409	
0.116038	0.093303	0.681454	0.225243	
0.220508	0.199485	0.591872	0.208643	
0.185481	0.157127	0.609903	0.232971	
0.224675	0.194619	0.564396	0.240985	
0.025881	0.032914	0.719519	0.247567	
0.220923	0.216085	0.493417	0.290498	
0.021042	0.020607	0.706068	0.273326	
0.084360	0.097310	0.701774	0.200916	
0.246691	0.229536	0.510017	0.260446	
0.302099	0.284774	0.479966	0.235260	
0.208038	0.176302	0.588151	0.235547	
0.212276	0.179164	0.614482	0.206354	
0.018640	0.019748	0.751002	0.229250	
0.251160	0.229250	0.515741	0.255009	
0.105582	0.138237	0.642816	0.218947	
0.234580	0.211792	0.522324	0.265884	
0.005518	0.007155	0.759874	0.232971	
0.134907	0.110475	0.643961	0.245564	
0.182629	0.184316	0.601603	0.214081	
0.238103	0.221523	0.519176	0.259302	
0.114841	0.116772	0.618775	0.264453	
0.223322	0.197481	0.578993	0.223526	
0.040609	0.042931	0.718088	0.238981	
0.223876	0.203205	0.531196	0.265598	
0.301190	0.294505	0.428163	0.277333	
0.072036	0.089296	0.688323	0.222381	
0.234491	0.221523	0.521752	0.256726	
0.215993	0.191757	0.582427	0.225816	
0.218405	0.216371	0.578993	0.204637	
0.106920	0.122782	0.631940	0.245278	
0.190479	0.172009	0.614768	0.213223	
0.071614	0.069834	0.725816	0.204350	
0.048846	0.040641	0.736978	0.222381	
0.238759	0.214081	0.530624	0.255295	
0.114438	0.118489	0.623641	0.257871	
0.204892	0.193188	0.617630	0.189181	
0.245310	0.231826	0.507728	0.260446	
0.239276	0.214940	0.516600	0.268460	
0.053215	0.060675	0.706640	0.232685	
0.229554	0.202919	0.554951	0.242129	
0.222557	0.199485	0.537493	0.263022	
0.118660	0.135089	0.649399	0.215512	
0.225417	0.198340	0.560389	0.241271	
0.012762	0.015169	0.754150	0.230681	
0.300353	0.287350	0.508300	0.204350	
0.233220	0.206640	0.538638	0.254722	
0.235322	0.214654	0.537493	0.247853	
0.222260	0.199199	0.552089	0.248712	
0.234104	0.215512	0.545220	0.239267	
0.235960	0.212650	0.547510	0.239840	
0.141964	0.130509	0.640813	0.228678	
0.203904	0.182599	0.564969	0.252433	
0.216711	0.200916	0.563824	0.235260	
0.062839	0.079565	0.679450	0.240985	
0.261445	0.247853	0.515455	0.236691	
0.330983	0.297367	0.447911	0.254722	
0.258501	0.217802	0.593303	0.188895	
0.332739	0.298226	0.436176	0.265598	
0.003515	0.004007	0.761305	0.234688	
0.287503	0.259588	0.481683	0.258729	
0.114022	0.080996	0.679164	0.239840	
0.207235	0.176875	0.612765	0.210361	
0.225336	0.196623	0.521179	0.282198	
0.043264	0.042645	0.723812	0.233543	
0.242639	0.220378	0.562679	0.216943	
0.268263	0.237264	0.489697	0.273039	
0.228163	0.210074	0.536920	0.253005	
0.127838	0.129365	0.632227	0.238409	
0.235042	0.215512	0.537493	0.246995	
0.208943	0.194906	0.563537	0.241557	
0.053915	0.068975	0.704923	0.226102	
0.294057	0.259588	0.477676	0.262736	
0.226935	0.197195	0.603320	0.199485	
0.023735	0.030052	0.730681	0.239267	
0.064816	0.070406	0.695764	0.233829	
0.264384	0.246136	0.522324	0.231540	
0.255613	0.232398	0.539496	0.228105	
0.190557	0.178306	0.565255	0.256440	
0.233805	0.217516	0.520607	0.261878	
0.205719	0.169433	0.601317	0.229250	
0.230908	0.208643	0.537779	0.253578	
0.038131	0.046938	0.716085	0.236978	
0.156761	0.132513	0.629365	0.238122	
0.301111	0.295936	0.461935	0.242129	
0.107837	0.116199	0.631368	0.252433	
0.157422	0.143102	0.587006	0.269891	
0.219800	0.189181	0.566972	0.243847	
0.189601	0.156268	0.586148	0.257584	
0.125833	0.124785	0.619920	0.255295	
0.063670	0.079565	0.681168	0.239267	
0.061144	0.067258	0.678592	0.254150	
0.133736	0.135947	0.655409	0.208643	
0.096755	0.097023	0.645392	0.257584	
0.306084	0.280195	0.465655	0.254150	
0.106363	0.102461	0.648827	0.248712	
0.032849	0.038638	0.738981	0.222381	
0.226471	0.195478	0.557241	0.247281	
0.172910	0.146823	0.617058	0.236119	
0.282009	0.246995	0.536634	0.216371	
0.011486	0.012879	0.771322	0.215799	
0.292979	0.242129	0.518890	0.238981	
0.126542	0.129651	0.589296	0.281053	
0.132082	0.126216	0.610475	0.263309	
0.231643	0.213795	0.579851	0.206354	
0.120515	0.114482	0.644533	0.240985	
0.011061	0.010590	0.754722	0.234688	
0.029532	0.034345	0.733829	0.231826	
0.151358	0.116485	0.626789	0.256726	
0.283211	0.274184	0.472238	0.253578	
0.226488	0.193188	0.533200	0.273612	
0.278903	0.266743	0.501431	0.231826	
0.216646	0.202919	0.552948	0.244133	
0.140053	0.165999	0.612479	0.221523	
0.059193	0.062965	0.698626	0.238409	
0.240665	0.220092	0.533200	0.246709	
0.267756	0.249284	0.520034	0.230681	
0.249984	0.233257	0.495993	0.270750	
0.179005	0.143961	0.638523	0.217516	
0.248568	0.220950	0.536062	0.242988	
0.158573	0.141671	0.624785	0.233543	
0.236162	0.214940	0.558672	0.226388	
0.212357	0.185747	0.555810	0.258443	
0.214486	0.196623	0.594161	0.209216	
0.245695	0.222954	0.544362	0.232685	
0.085145	0.090727	0.682026	0.227247	
0.270118	0.244705	0.487979	0.267315	
0.208939	0.177447	0.548941	0.273612	
0.221683	0.185747	0.578134	0.236119	
0.224650	0.206640	0.559244	0.234116	
0.204726	0.191471	0.577275	0.231254	
0.213166	0.182885	0.582141	0.234974	
0.230889	0.215799	0.526045	0.258157	
0.045007	0.050086	0.680309	0.269605	
0.237049	0.213795	0.532627	0.253578	
0.247257	0.225243	0.541214	0.233543	
0.275873	0.246995	0.509159	0.243847	
0.219861	0.190040	0.552376	0.257584	
0.130020	0.132227	0.638809	0.228964	
0.185589	0.157413	0.558672	0.283915	
0.067483	0.061820	0.702633	0.235547	
0.247985	0.225243	0.523183	0.251574	
0.205661	0.182313	0.609616	0.208071	
0.240767	0.212364	0.565255	0.222381	
0.240081	0.220664	0.565827	0.213509	
0.221612	0.191757	0.584144	0.224098	
0.197461	0.172295	0.559531	0.268174	
0.232004	0.219519	0.498855	0.281626	
0.219325	0.206068	0.580996	0.212936	
0.125579	0.119061	0.617344	0.263595	
0.162653	0.156554	0.606754	0.236691	
0.267991	0.255009	0.501145	0.243847	
0.194577	0.159702	0.573841	0.266457	
0.251989	0.231540	0.549800	0.218661	
0.146263	0.133658	0.641671	0.224671	
0.246085	0.220950	0.513452	0.265598	
0.327721	0.291643	0.484545	0.223812	
0.099754	0.086720	0.684030	0.229250	
0.039099	0.048941	0.713223	0.237836	
0.142597	0.123068	0.657985	0.218947	
0.250431	0.223526	0.543789	0.232685	
0.237987	0.218947	0.529479	0.251574	
0.318281	0.303377	0.464797	0.231826	
0.239664	0.224385	0.490555	0.285060	
0.228146	0.187464	0.548369	0.264167	
0.245462	0.220950	0.515741	0.263309	
0.285703	0.262450	0.492845	0.244705	
0.233285	0.211505	0.535776	0.252719	
0.240320	0.222381	0.544934	0.232685	
0.172768	0.181168	0.570693	0.248140	
0.226063	0.190326	0.513452	0.296222	
0.218861	0.204350	0.530052	0.265598	
0.201125	0.182026	0.566686	0.251288	
0.056424	0.070979	0.701488	0.227533	
0.250019	0.234402	0.497997	0.267602	
0.253974	0.231540	0.532627	0.235833	
0.051900	0.067258	0.708643	0.224098	
0.067969	0.067544	0.693188	0.239267	
0.258371	0.249284	0.532627	0.218088	
0.375956	0.331139	0.443331	0.225529	
0.241397	0.224671	0.519748	0.255581	
0.148584	0.122782	0.666571	0.210647	
0.110225	0.118203	0.625644	0.256153	
0.173850	0.155695	0.623354	0.220950	
0.009996	0.010876	0.770177	0.218947	
0.232794	0.209788	0.537493	0.252719	
0.182544	0.165713	0.595306	0.238981	
0.266278	0.241843	0.532914	0.225243	
0.198858	0.186606	0.544076	0.269319	
0.080899	0.068117	0.660275	0.271608	
0.205558	0.195192	0.568689	0.236119	
0.241650	0.232971	0.526045	0.240985	
0.062699	0.080424	0.665713	0.253864	
0.267158	0.247281	0.535776	0.216943	
0.120134	0.126789	0.633371	0.239840	
0.171384	0.171151	0.599027	0.229823	
0.269791	0.244133	0.488838	0.267029	
0.297769	0.259302	0.495993	0.244705	
0.249728	0.235260	0.538638	0.226102	
0.228548	0.194333	0.580710	0.224957	
0.055341	0.058672	0.748712	0.192616	
0.058172	0.060389	0.724957	0.214654	
0.239129	0.212078	0.559817	0.228105	
0.222073	0.202061	0.539782	0.258157	
0.215967	0.179737	0.563824	0.256440	
0.254394	0.204064	0.549800	0.246136	
0.325210	0.307670	0.423011	0.269319	
0.071725	0.078993	0.689468	0.231540	
0.021280	0.025186	0.727819	0.246995	
0.323448	0.280481	0.473097	0.246422	
0.226342	0.208357	0.568975	0.222667	
0.114789	0.121923	0.629937	0.248140	
0.250851	0.226102	0.536920	0.236978	
0.274553	0.254436	0.483114	0.262450	
0.172086	0.152833	0.607041	0.240126	
0.025769	0.031769	0.718374	0.249857	
0.202326	0.160561	0.588724	0.250716	
0.151667	0.144533	0.640527	0.214940	
0.263285	0.227247	0.522038	0.250716	
0.184146	0.167716	0.627075	0.205209	
0.250696	0.222954	0.533772	0.243274	
0.165325	0.162564	0.613337	0.224098	
0.308142	0.287636	0.473383	0.238981	
0.247217	0.226961	0.533486	0.239554	
0.152209	0.146251	0.602461	0.251288	
0.223867	0.195764	0.569548	0.234688	
0.150292	0.147968	0.616485	0.235547	
0.216374	0.193761	0.556382	0.249857	
0.146594	0.141385	0.610761	0.247853	
0.207135	0.177161	0.558672	0.264167	
0.207755	0.179164	0.584430	0.236405	
0.239313	0.209502	0.541214	0.249284	
0.244544	0.226388	0.516886	0.256726	
0.425257	0.365484	0.411563	0.222954	
0.174503	0.166285	0.638523	0.195192	
0.228621	0.205495	0.574127	0.220378	
0.227248	0.199485	0.518317	0.282198	
0.210044	0.173154	0.581568	0.245278	
0.072267	0.068689	0.698912	0.232398	
0.192538	0.162851	0.608472	0.228678	
0.247271	0.232112	0.525186	0.242702	
0.165688	0.139096	0.614482	0.246422	
0.108977	0.117916	0.663137	0.218947	
0.264072	0.245564	0.524041	0.230395	
0.223020	0.202633	0.564682	0.232685	
0.227427	0.205209	0.568975	0.225816	
0.212639	0.196050	0.560962	0.242988	
0.093492	0.101030	0.682599	0.216371	
0.056552	0.058958	0.698626	0.242416	
0.054109	0.061248	0.699485	0.239267	
0.122768	0.107041	0.631368	0.261591	
0.257003	0.232971	0.465083	0.301946	
0.197674	0.179450	0.584430	0.236119	
0.097607	0.080710	0.671723	0.247567	
0.155775	0.175444	0.582999	0.241557	
0.251876	0.218374	0.608758	0.172868	
0.031568	0.040355	0.720664	0.238981	
0.026129	0.031196	0.695192	0.273612	
0.256489	0.238409	0.511734	0.249857	
0.205534	0.174585	0.626216	0.199199	
0.218740	0.192330	0.560103	0.247567	
0.342919	0.334001	0.457069	0.208930	
0.110175	0.102748	0.656268	0.240985	
0.178037	0.147968	0.601317	0.250716	
0.222938	0.202347	0.521752	0.275902	
0.260360	0.234688	0.514596	0.250716	
0.244585	0.227819	0.542072	0.230109	
0.239231	0.216657	0.531483	0.251860	
0.224003	0.206926	0.568975	0.224098	
0.407962	0.359187	0.412135	0.228678	
0.010726	0.013738	0.759588	0.226674	
0.237477	0.219519	0.523469	0.257012	
0.245412	0.232398	0.489410	0.278191	
0.199123	0.177161	0.534058	0.288781	
0.271084	0.249571	0.497424	0.253005	
0.155122	0.135947	0.612479	0.251574	
0.265029	0.246995	0.517459	0.235547	
0.230228	0.212364	0.532055	0.255581	
0.106693	0.114768	0.669433	0.215799	
0.226703	0.213223	0.531196	0.255581	
0.209618	0.176302	0.606468	0.217230	
0.299427	0.285060	0.496279	0.218661	
0.118713	0.119634	0.668288	0.212078	
0.220800	0.199199	0.552948	0.247853	
0.230133	0.210074	0.532627	0.257298	
0.306054	0.288208	0.494276	0.217516	
0.215304	0.194333	0.594734	0.210933	
0.188236	0.203205	0.494276	0.302519	
0.311572	0.286777	0.480252	0.232971	
0.287819	0.262164	0.523469	0.214367	
0.254492	0.229823	0.535489	0.234688	
0.108588	0.097310	0.681740	0.220950	
0.210696	0.197195	0.591299	0.211505	
0.212118	0.192330	0.588437	0.219233	
0.021269	0.027189	0.722954	0.249857	
0.224144	0.205781	0.552089	0.242129	
0.203658	0.192902	0.565827	0.241271	
0.336293	0.291929	0.431597	0.276474	
0.229099	0.204923	0.505438	0.289639	
0.110423	0.097023	0.625358	0.277619	
0.237048	0.218374	0.526331	0.255295	
0.078426	0.084717	0.670292	0.244991	
0.011626	0.010876	0.732971	0.256153	
0.121405	0.128220	0.634230	0.237550	
0.251050	0.230395	0.557813	0.211792	
0.173132	0.158558	0.623927	0.217516	
0.249868	0.220378	0.545220	0.234402	
0.225987	0.205495	0.548941	0.245564	
0.297439	0.288208	0.491414	0.220378	
0.245802	0.219233	0.542645	0.238122	
0.241048	0.216085	0.582713	0.201202	
0.058845	0.070693	0.720092	0.209216	
0.144636	0.146537	0.620206	0.233257	
0.328741	0.313681	0.455924	0.230395	
0.242005	0.217802	0.543503	0.238695	
0.250917	0.229250	0.497424	0.273326	
