Training began at: 2018-01-01
Training completed at: 
A2C algorithm
Number of Products 4
State Setting: INVENTORY
Reward function: OTD1
Planning Time Horizon = 7
Random seed: 
==============================================================================
Episode Results: 
total_reward	on_time	late	not_shipped	
0.321429	0.666667	0.222222	0.111111	
0.404762	0.700000	0.200000	0.100000	
0.357143	0.500000	0.400000	0.100000	
0.285714	0.500000	0.400000	0.100000	
0.464286	0.583333	0.166667	0.250000	
0.333333	0.571429	0.285714	0.142857	
0.071429	0.222222	0.111111	0.666667	
0.202381	0.333333	0.333333	0.333333	
0.214286	0.333333	0.500000	0.166667	
0.142857	0.375000	0.375000	0.250000	
0.142857	0.272727	0.272727	0.454545	
0.250000	0.500000	0.300000	0.200000	
0.392857	0.666667	0.222222	0.111111	
0.285714	0.333333	0.333333	0.333333	
0.500000	0.666667	0.200000	0.133333	
0.214286	0.555556	0.222222	0.222222	
0.107143	0.230769	0.461538	0.307692	
0.214286	0.230769	0.692308	0.076923	
0.500000	0.769231	0.230769	0.000000	
0.285714	0.416667	0.416667	0.166667	
0.285714	0.461538	0.307692	0.230769	
0.392857	0.615385	0.230769	0.153846	
0.357143	0.583333	0.333333	0.083333	
0.214286	0.357143	0.500000	0.142857	
0.428571	0.615385	0.076923	0.307692	
0.250000	0.500000	0.333333	0.166667	
0.357143	0.692308	0.000000	0.307692	
0.261905	0.555556	0.222222	0.222222	
0.571429	0.666667	0.166667	0.166667	
0.392857	0.545455	0.272727	0.181818	
0.500000	0.846154	0.153846	0.000000	
0.214286	0.500000	0.300000	0.200000	
0.250000	0.500000	0.250000	0.250000	
0.357143	0.600000	0.300000	0.100000	
0.428571	0.800000	0.100000	0.100000	
0.285714	0.416667	0.416667	0.166667	
0.321429	0.777778	0.000000	0.222222	
0.500000	0.714286	0.285714	0.000000	
0.357143	0.636364	0.090909	0.272727	
0.214286	0.307692	0.538462	0.153846	
0.321429	0.636364	0.090909	0.272727	
0.357143	0.500000	0.142857	0.357143	
0.071429	0.200000	0.200000	0.600000	
0.214286	0.272727	0.636364	0.090909	
0.571429	0.666667	0.333333	0.000000	
0.178571	0.230769	0.538462	0.230769	
0.500000	0.818182	0.000000	0.181818	
0.464286	0.705882	0.058824	0.235294	
0.500000	0.642857	0.214286	0.142857	
0.285714	0.416667	0.583333	0.000000	
0.214286	0.454545	0.272727	0.272727	
0.392857	0.500000	0.214286	0.285714	
0.250000	0.700000	0.000000	0.300000	
0.392857	0.538462	0.230769	0.230769	
0.250000	0.400000	0.133333	0.466667	
0.464286	0.750000	0.166667	0.083333	
0.071429	0.333333	0.333333	0.333333	
0.130952	0.214286	0.500000	0.285714	
0.261905	0.692308	0.153846	0.153846	
0.500000	0.692308	0.153846	0.153846	
0.142857	0.500000	0.500000	0.000000	
0.357143	0.700000	0.300000	0.000000	
0.285714	0.400000	0.400000	0.200000	
0.214286	0.416667	0.416667	0.166667	
0.404762	0.636364	0.181818	0.181818	
0.238095	0.583333	0.000000	0.416667	
0.250000	0.333333	0.250000	0.416667	
0.214286	0.384615	0.384615	0.230769	
0.392857	0.750000	0.083333	0.166667	
0.285714	0.538462	0.384615	0.076923	
0.285714	0.363636	0.454545	0.181818	
0.404762	0.714286	0.142857	0.142857	
0.428571	0.777778	0.111111	0.111111	
0.333333	0.538462	0.307692	0.153846	
0.392857	0.692308	0.076923	0.230769	
0.285714	0.500000	0.428571	0.071429	
0.428571	0.500000	0.500000	0.000000	
0.214286	0.307692	0.307692	0.384615	
0.476190	0.846154	0.153846	0.000000	
0.357143	0.555556	0.000000	0.444444	
0.321429	0.500000	0.333333	0.166667	
0.214286	0.363636	0.272727	0.363636	
0.428571	0.666667	0.333333	0.000000	
0.285714	0.625000	0.375000	0.000000	
0.333333	0.666667	0.333333	0.000000	
0.190476	0.500000	0.000000	0.500000	
0.178571	0.555556	0.000000	0.444444	
0.321429	0.466667	0.533333	0.000000	
0.392857	0.466667	0.333333	0.200000	
0.285714	0.428571	0.571429	0.000000	
0.714286	0.733333	0.200000	0.066667	
0.119048	0.300000	0.400000	0.300000	
0.357143	0.545455	0.363636	0.090909	
0.357143	0.666667	0.333333	0.000000	
0.250000	0.600000	0.200000	0.200000	
0.678571	0.875000	0.000000	0.125000	
0.321429	0.529412	0.176471	0.294118	
0.250000	0.571429	0.000000	0.428571	
0.428571	0.500000	0.333333	0.166667	
0.321429	0.416667	0.083333	0.500000	
0.261905	0.615385	0.153846	0.230769	
0.428571	0.600000	0.333333	0.066667	
0.285714	0.555556	0.222222	0.222222	
