Training began at: 2018-01-01
Training completed at: 
A2C algorithm
Number of Products 4
State Setting: INVENTORY
Reward function: VALUE_ADD
Planning Time Horizon = 7
Random seed: 
==============================================================================
Episode Results: 
total_reward	on_time	late	not_shipped	
19494.429198	0.632653	0.326531	0.040816	
28865.317016	0.795918	0.163265	0.040816	
13284.837498	0.530612	0.448980	0.020408	
28294.632318	0.795918	0.183673	0.020408	
25623.761488	0.816327	0.142857	0.040816	
23126.823538	0.632653	0.326531	0.040816	
29949.073751	0.816327	0.183673	0.000000	
31379.711616	0.897959	0.081633	0.020408	
19447.749466	0.632653	0.326531	0.040816	
22802.353923	0.612245	0.326531	0.061224	
22761.494616	0.836735	0.163265	0.000000	
29173.095970	0.857143	0.142857	0.000000	
26692.780654	0.734694	0.224490	0.040816	
21587.864212	0.612245	0.367347	0.020408	
30643.324941	0.816327	0.163265	0.020408	
3182.425279	0.510204	0.448980	0.040816	
22887.311759	0.795918	0.204082	0.000000	
14056.470815	0.530612	0.428571	0.040816	
29544.526245	0.836735	0.142857	0.020408	
30913.261096	0.857143	0.122449	0.020408	
27119.683950	0.775510	0.183673	0.040816	
27081.776144	0.795918	0.163265	0.040816	
23806.287423	0.632653	0.306122	0.061224	
-22223.865674	0.285714	0.673469	0.040816	
28224.353081	0.836735	0.142857	0.020408	
25722.910674	0.653061	0.285714	0.061224	
23786.194830	0.755102	0.244898	0.000000	
25411.938029	0.816327	0.142857	0.040816	
29371.621598	0.816327	0.163265	0.020408	
21272.233708	0.734694	0.265306	0.000000	
23611.904728	0.693878	0.265306	0.040816	
31640.605241	0.897959	0.081633	0.020408	
30838.558193	0.877551	0.102041	0.020408	
25505.017038	0.612245	0.326531	0.061224	
18843.118497	0.673469	0.306122	0.020408	
27419.555700	0.755102	0.224490	0.020408	
27471.540511	0.795918	0.183673	0.020408	
29111.488776	0.857143	0.122449	0.020408	
31973.550044	0.857143	0.142857	0.000000	
29198.253902	0.857143	0.102041	0.040816	
30774.821458	0.836735	0.122449	0.040816	
18979.492465	0.653061	0.285714	0.061224	
28408.367975	0.816327	0.163265	0.020408	
28428.120079	0.816327	0.163265	0.020408	
27509.778260	0.775510	0.204082	0.020408	
19061.625698	0.551020	0.408163	0.040816	
30732.751459	0.897959	0.102041	0.000000	
30003.240586	0.816327	0.163265	0.020408	
29688.891344	0.816327	0.142857	0.040816	
29182.157680	0.755102	0.204082	0.040816	
30819.438084	0.836735	0.163265	0.000000	
23466.955003	0.673469	0.306122	0.020408	
31547.741479	0.938776	0.040816	0.020408	
30870.035995	0.877551	0.102041	0.020408	
25610.894122	0.693878	0.265306	0.040816	
22130.173327	0.693878	0.265306	0.040816	
22489.347537	0.693878	0.265306	0.040816	
29448.100373	0.857143	0.142857	0.000000	
28455.917516	0.795918	0.142857	0.061224	
-16000.587543	0.244898	0.469388	0.285714	
29031.600065	0.836735	0.163265	0.000000	
26463.793549	0.775510	0.142857	0.081633	
25181.374466	0.734694	0.244898	0.020408	
28711.165866	0.816327	0.142857	0.040816	
28371.657500	0.775510	0.183673	0.040816	
25238.934553	0.795918	0.163265	0.040816	
-5446.853011	0.326531	0.571429	0.102041	
25188.418483	0.755102	0.204082	0.040816	
28178.137230	0.734694	0.224490	0.040816	
21403.934809	0.693878	0.244898	0.061224	
31510.771671	0.897959	0.102041	0.000000	
22659.836674	0.673469	0.306122	0.020408	
25275.814126	0.693878	0.265306	0.040816	
23397.940616	0.775510	0.204082	0.020408	
25194.393030	0.693878	0.265306	0.040816	
20903.677557	0.653061	0.306122	0.040816	
29519.019226	0.816327	0.142857	0.040816	
21602.909160	0.714286	0.244898	0.040816	
14051.426131	0.408163	0.591837	0.000000	
27547.377297	0.775510	0.142857	0.081633	
27049.566115	0.775510	0.183673	0.040816	
29976.385007	0.836735	0.163265	0.000000	
12032.767774	0.489796	0.489796	0.020408	
14811.015110	0.469388	0.448980	0.081633	
30507.813469	0.877551	0.081633	0.040816	
25978.965982	0.714286	0.224490	0.061224	
27203.135727	0.755102	0.244898	0.000000	
21861.301480	0.673469	0.244898	0.081633	
11622.927247	0.489796	0.469388	0.040816	
-3504.994009	0.408163	0.530612	0.061224	
27691.012448	0.795918	0.183673	0.020408	
27213.078840	0.653061	0.346939	0.000000	
30561.151365	0.857143	0.081633	0.061224	
30946.916468	0.836735	0.122449	0.040816	
22248.864596	0.673469	0.326531	0.000000	
27044.284327	0.755102	0.163265	0.081633	
29030.757092	0.816327	0.142857	0.040816	
25975.212372	0.714286	0.265306	0.020408	
28297.267639	0.857143	0.102041	0.040816	
27295.549355	0.775510	0.183673	0.040816	
-27793.754518	0.183673	0.591837	0.224490	
15695.559935	0.469388	0.428571	0.102041	
-11111.855084	0.510204	0.469388	0.020408	
-17498.094015	0.387755	0.591837	0.020408	
27929.370828	0.816327	0.163265	0.020408	
26878.441908	0.755102	0.224490	0.020408	
26935.310815	0.816327	0.142857	0.040816	
26568.306236	0.775510	0.204082	0.020408	
31465.575822	0.897959	0.081633	0.020408	
29580.465308	0.877551	0.081633	0.040816	
24150.568732	0.653061	0.306122	0.040816	
28681.050290	0.816327	0.183673	0.000000	
28665.097642	0.857143	0.142857	0.000000	
2138.202079	0.387755	0.591837	0.020408	
30138.697297	0.816327	0.163265	0.020408	
8384.516662	0.632653	0.367347	0.000000	
31130.873872	0.877551	0.081633	0.040816	
31048.206995	0.877551	0.102041	0.020408	
19396.880246	0.612245	0.346939	0.040816	
22625.418222	0.673469	0.285714	0.040816	
22871.078100	0.714286	0.224490	0.061224	
21741.082437	0.591837	0.346939	0.061224	
31786.303297	0.897959	0.061224	0.040816	
27827.986989	0.836735	0.163265	0.000000	
30144.518228	0.877551	0.102041	0.020408	
25659.429168	0.755102	0.204082	0.040816	
31416.099553	0.877551	0.122449	0.000000	
27747.141358	0.714286	0.285714	0.000000	
31978.000863	0.918367	0.081633	0.000000	
28013.779005	0.734694	0.265306	0.000000	
26910.351151	0.755102	0.224490	0.020408	
28683.769028	0.836735	0.163265	0.000000	
31242.769317	0.897959	0.081633	0.020408	
29566.833597	0.816327	0.142857	0.040816	
18424.432226	0.591837	0.367347	0.040816	
26753.731176	0.755102	0.224490	0.020408	
27184.803395	0.816327	0.163265	0.020408	
22890.914500	0.714286	0.224490	0.061224	
25665.458095	0.755102	0.244898	0.000000	
24728.553323	0.775510	0.204082	0.020408	
-21151.783446	0.326531	0.448980	0.224490	
29997.422707	0.836735	0.142857	0.020408	
30124.900939	0.897959	0.081633	0.020408	
31602.930738	0.836735	0.163265	0.000000	
27973.068330	0.816327	0.163265	0.020408	
21829.049800	0.775510	0.204082	0.020408	
14556.573642	0.571429	0.428571	0.000000	
24699.010496	0.734694	0.244898	0.020408	
26146.601551	0.714286	0.224490	0.061224	
25787.485351	0.673469	0.306122	0.020408	
26812.779944	0.775510	0.224490	0.000000	
26902.117388	0.673469	0.244898	0.081633	
26892.873501	0.795918	0.163265	0.040816	
28673.412572	0.795918	0.122449	0.081633	
16317.549451	0.734694	0.224490	0.040816	
29478.141291	0.857143	0.122449	0.020408	
25591.018006	0.693878	0.204082	0.102041	
23083.992968	0.693878	0.224490	0.081633	
12397.379003	0.591837	0.408163	0.000000	
26196.764980	0.775510	0.183673	0.040816	
26830.064295	0.775510	0.204082	0.020408	
-1036.263076	0.428571	0.551020	0.020408	
29231.988443	0.816327	0.163265	0.020408	
29469.687624	0.857143	0.122449	0.020408	
27596.230142	0.775510	0.204082	0.020408	
29807.959360	0.775510	0.204082	0.020408	
31194.832279	0.897959	0.061224	0.040816	
28448.814260	0.816327	0.142857	0.040816	
4274.558914	0.510204	0.469388	0.020408	
24993.416520	0.693878	0.285714	0.020408	
28468.110040	0.795918	0.204082	0.000000	
29850.027442	0.857143	0.122449	0.020408	
30284.671530	0.836735	0.102041	0.061224	
23984.195676	0.693878	0.285714	0.020408	
15205.609131	0.571429	0.387755	0.040816	
21951.347501	0.775510	0.183673	0.040816	
30815.565600	0.897959	0.081633	0.020408	
28441.572513	0.897959	0.081633	0.020408	
21234.930273	0.612245	0.387755	0.000000	
20110.239476	0.653061	0.306122	0.040816	
24810.907903	0.734694	0.265306	0.000000	
27800.874916	0.816327	0.142857	0.040816	
30466.883487	0.877551	0.061224	0.061224	
20876.719500	0.612245	0.387755	0.000000	
20642.913079	0.775510	0.163265	0.061224	
29526.860180	0.816327	0.142857	0.040816	
27731.442322	0.775510	0.204082	0.020408	
13023.723185	0.551020	0.428571	0.020408	
29046.929327	0.816327	0.122449	0.061224	
14360.047479	0.489796	0.428571	0.081633	
-5929.616343	0.469388	0.510204	0.020408	
28255.449627	0.836735	0.122449	0.040816	
28658.387864	0.816327	0.183673	0.000000	
17594.720044	0.591837	0.408163	0.000000	
23378.262205	0.673469	0.306122	0.020408	
31011.421822	0.836735	0.142857	0.020408	
30281.073126	0.836735	0.122449	0.040816	
15636.701859	0.571429	0.408163	0.020408	
31911.046430	0.918367	0.081633	0.000000	
28986.037291	0.836735	0.122449	0.040816	
29050.230573	0.857143	0.142857	0.000000	
27269.443157	0.714286	0.224490	0.061224	
24261.460924	0.693878	0.265306	0.040816	
29090.337418	0.836735	0.102041	0.061224	
26342.921630	0.836735	0.142857	0.020408	
31798.164033	0.857143	0.142857	0.000000	
7715.664734	0.612245	0.367347	0.020408	
31473.598796	0.938776	0.061224	0.000000	
25451.024168	0.755102	0.224490	0.020408	
27095.807762	0.775510	0.163265	0.061224	
25975.097452	0.693878	0.306122	0.000000	
27669.355327	0.775510	0.142857	0.081633	
29881.259184	0.734694	0.244898	0.020408	
32249.898773	0.918367	0.081633	0.000000	
23920.726214	0.673469	0.306122	0.020408	
24811.952771	0.714286	0.244898	0.040816	
26482.922883	0.775510	0.183673	0.040816	
11236.079477	0.489796	0.428571	0.081633	
25927.557192	0.755102	0.204082	0.040816	
27537.284909	0.734694	0.244898	0.020408	
26914.166643	0.734694	0.244898	0.020408	
28374.681171	0.816327	0.163265	0.020408	
18617.169911	0.755102	0.224490	0.020408	
29362.934914	0.816327	0.183673	0.000000	
29631.338925	0.775510	0.204082	0.020408	
28070.284417	0.775510	0.183673	0.040816	
26184.412816	0.775510	0.183673	0.040816	
32687.161441	0.938776	0.061224	0.000000	
25393.741217	0.653061	0.285714	0.061224	
29502.521138	0.755102	0.224490	0.020408	
22085.796158	0.653061	0.265306	0.081633	
27311.522212	0.775510	0.183673	0.040816	
14282.095881	0.551020	0.428571	0.020408	
29442.214099	0.836735	0.142857	0.020408	
24465.845789	0.673469	0.326531	0.000000	
25504.696401	0.775510	0.204082	0.020408	
27898.864645	0.816327	0.122449	0.061224	
29076.834723	0.836735	0.102041	0.061224	
29319.089285	0.836735	0.142857	0.020408	
21632.306110	0.693878	0.306122	0.000000	
28843.482794	0.836735	0.122449	0.040816	
12805.198922	0.428571	0.551020	0.020408	
24013.643393	0.734694	0.204082	0.061224	
30745.687382	0.857143	0.122449	0.020408	
19941.571571	0.632653	0.346939	0.020408	
26923.966505	0.775510	0.163265	0.061224	
29265.616143	0.836735	0.142857	0.020408	
29548.049296	0.897959	0.102041	0.000000	
19117.771805	0.693878	0.306122	0.000000	
13173.403764	0.693878	0.285714	0.020408	
24024.008169	0.632653	0.346939	0.020408	
27922.783770	0.795918	0.122449	0.081633	
