Training began at: 2018-01-01
Training completed at: 
A2C algorithm
Number of Products 4
State Setting: INVENTORY
Reward function: VALUE_ADD
Planning Time Horizon = 7
Random seed: 
==============================================================================
Episode Results: 
total_reward	on_time	late	not_shipped	
-36544416.440305	0.304808	0.491986	0.203205	
-41587479.100622	0.368632	0.385232	0.246136	
-35189022.911077	0.340870	0.449628	0.209502	
-40837232.636259	0.358615	0.411849	0.229536	
-35878919.302162	0.363194	0.436176	0.200630	
-32306063.758770	0.297081	0.499714	0.203205	
-38652928.773826	0.355467	0.447911	0.196623	
-38038669.835758	0.369204	0.409273	0.221523	
-41291141.750307	0.361191	0.396680	0.242129	
-32577379.787898	0.336005	0.490269	0.173726	
-31422665.274552	0.342015	0.479107	0.178878	
-41994375.924885	0.395249	0.363766	0.240985	
-43132067.789071	0.339725	0.417001	0.243274	
-32874042.230662	0.346022	0.465942	0.188037	
-39054697.546942	0.293074	0.468517	0.238409	
-37220015.588890	0.316256	0.467373	0.216371	
-36714167.235974	0.313108	0.471666	0.215226	
-28614100.182956	0.275329	0.564969	0.159702	
-37938514.664693	0.357470	0.432456	0.210074	
-38174543.623876	0.355180	0.413280	0.231540	
-35157278.520734	0.346594	0.451918	0.201488	
-34792573.578804	0.339153	0.479966	0.180882	
-38250973.196427	0.361763	0.411849	0.226388	
-42934775.622496	0.342301	0.421866	0.235833	
-39043063.634698	0.316829	0.455638	0.227533	
-45755869.459320	0.393246	0.340584	0.266171	
-34595224.460325	0.350601	0.451918	0.197481	
-34484201.949458	0.361763	0.443045	0.195192	
-35130960.969995	0.351173	0.459931	0.188895	
-37759609.298837	0.307670	0.468804	0.223526	
-35123193.470174	0.329994	0.466514	0.203492	
-38972377.490940	0.313108	0.451918	0.234974	
-38902000.397397	0.344305	0.452490	0.203205	
-38631272.458027	0.406125	0.377218	0.216657	
-34706152.209667	0.327132	0.480824	0.192044	
-38236231.283837	0.332284	0.438180	0.229536	
-35720408.896894	0.355180	0.444762	0.200057	
-38315399.186897	0.346308	0.437607	0.216085	
-35164973.492974	0.332570	0.484545	0.182885	
-41911812.613028	0.340011	0.425014	0.234974	
-37149117.931775	0.327991	0.465083	0.206926	
-44648359.309943	0.372066	0.400114	0.227819	
-35426096.715163	0.291643	0.501431	0.206926	
-43556607.388006	0.318832	0.427304	0.253864	
-37403537.276415	0.307956	0.481397	0.210647	
-39083297.003433	0.344305	0.442759	0.212936	
-32212315.604844	0.296508	0.527189	0.176302	
-41843813.430575	0.316543	0.447052	0.236405	
-34466356.346760	0.295077	0.503434	0.201488	
-31606571.853220	0.363194	0.457069	0.179737	
-35167784.437381	0.309388	0.476531	0.214081	
-35747108.266733	0.323984	0.477676	0.198340	
