total_loss	policy_loss	value_loss	entropy_loss	kl_divergence	
0.039054	0.040440	0.986508	0.001386	598.158386	
0.039054	-0.079551	0.040440	-0.078175	0.986508	
0.882460	0.001386	0.001377	598.158386	28296.732422	
0.039054	-0.079551	-0.230995	0.040440	-0.078175	
-0.230070	0.986508	0.882460	0.920234	0.001386	
0.001377	0.000925	598.158386	28296.732422	25297.205078	
0.039054	-0.079551	-0.230995	0.303989	0.040440	
-0.078175	-0.230070	0.304276	0.986508	0.882460	
0.920234	2.629177	0.001386	0.001377	0.000925	
0.000287	598.158386	28296.732422	25297.205078	537.465454	
0.039054	-0.079551	-0.230995	0.303989	0.347686	
0.040440	-0.078175	-0.230070	0.304276	0.348113	
0.986508	0.882460	0.920234	2.629177	1.450357	
0.001386	0.001377	0.000925	0.000287	0.000427	
598.158386	28296.732422	25297.205078	537.465454	3509.261230	
0.039054	-0.079551	-0.230995	0.303989	0.347686	
0.003509	0.040440	-0.078175	-0.230070	0.304276	
0.348113	0.004336	0.986508	0.882460	0.920234	
2.629177	1.450357	0.989578	0.001386	0.001377	
0.000925	0.000287	0.000427	0.000827	598.158386	
28296.732422	25297.205078	537.465454	3509.261230	12161.125977	
0.039054	-0.079551	-0.230995	0.303989	0.347686	
0.003509	-0.198933	0.040440	-0.078175	-0.230070	
0.304276	0.348113	0.004336	-0.197691	0.986508	
0.882460	0.920234	2.629177	1.450357	0.989578	
0.831332	0.001386	0.001377	0.000925	0.000287	
0.000427	0.000827	0.001242	598.158386	28296.732422	
25297.205078	537.465454	3509.261230	12161.125977	2907.998291	
0.039054	-0.079551	-0.230995	0.303989	0.347686	
0.003509	-0.198933	-0.286504	0.040440	-0.078175	
-0.230070	0.304276	0.348113	0.004336	-0.197691	
-0.285176	0.986508	0.882460	0.920234	2.629177	
1.450357	0.989578	0.831332	0.781739	0.001386	
0.001377	0.000925	0.000287	0.000427	0.000827	
0.001242	0.001327	598.158386	28296.732422	25297.205078	
537.465454	3509.261230	12161.125977	2907.998291	442.619965	
0.039054	-0.079551	-0.230995	0.303989	0.347686	
0.003509	-0.198933	-0.286504	-0.284972	0.040440	
-0.078175	-0.230070	0.304276	0.348113	0.004336	
-0.197691	-0.285176	-0.283649	0.986508	0.882460	
0.920234	2.629177	1.450357	0.989578	0.831332	
0.781739	0.780010	0.001386	0.001377	0.000925	
0.000287	0.000427	0.000827	0.001242	0.001327	
0.001322	598.158386	28296.732422	25297.205078	537.465454	
3509.261230	12161.125977	2907.998291	442.619965	448.556946	
0.039054	-0.079551	-0.230995	0.303989	0.347686	
