Training began at: 2018-01-01
Training completed at: 
A2C algorithm
Number of Products 4
State Setting: INVENTORY
Reward function: VALUE_ADD
Planning Time Horizon = 7
Random seed: 
==============================================================================
Episode Results: 
total_reward	on_time	late	not_shipped	
30788.240477	0.542234	0.446866	0.010899	
121369.352148	0.604905	0.389646	0.005450	
-36717.152741	0.542234	0.449591	0.008174	
173728.015902	0.577657	0.416894	0.005450	
85771.043058	0.651226	0.337875	0.010899	
91061.039592	0.632153	0.335150	0.032698	
290650.026563	0.841962	0.158038	0.000000	
140778.775943	0.648501	0.337875	0.013624	
161417.885040	0.547684	0.441417	0.010899	
20279.451169	0.542234	0.457766	0.000000	
290580.703549	0.869210	0.130790	0.000000	
106368.052246	0.555858	0.435967	0.008174	
288178.467239	0.855586	0.136240	0.008174	
191168.134636	0.651226	0.324251	0.024523	
-142653.928625	0.474114	0.520436	0.005450	
-38002.037109	0.523161	0.474114	0.002725	
134586.206227	0.610354	0.367847	0.021798	
-199883.039771	0.474114	0.525886	0.000000	
141072.318353	0.735695	0.237057	0.027248	
-75524.372121	0.566757	0.329700	0.103542	
203326.008432	0.822888	0.122616	0.054496	
107685.982081	0.539510	0.449591	0.010899	
-152590.146680	0.504087	0.474114	0.021798	
70629.114866	0.659401	0.335150	0.005450	
-292993.303687	0.468665	0.525886	0.005450	
191472.928483	0.719346	0.275204	0.005450	
-489340.035660	0.403270	0.588556	0.008174	
102146.542571	0.525886	0.463215	0.010899	
174852.907626	0.681199	0.307902	0.010899	
-24565.907995	0.591281	0.343324	0.065395	
-19340.691976	0.501362	0.471390	0.027248	
55367.458520	0.520436	0.479564	0.000000	
205964.380614	0.675749	0.321526	0.002725	
289091.047657	0.844687	0.144414	0.010899	
-51748.404976	0.553134	0.446866	0.000000	
121850.322320	0.558583	0.416894	0.024523	
-62595.055444	0.449591	0.520436	0.029973	
103762.124482	0.591281	0.403270	0.005450	
103946.673647	0.564033	0.419619	0.016349	
-648.438668	0.514986	0.457766	0.027248	
266814.830778	0.773842	0.212534	0.013624	
250801.318255	0.730245	0.258856	0.010899	
188652.831054	0.722071	0.242507	0.035422	
-69420.585639	0.463215	0.534060	0.002725	
-379831.020101	0.463215	0.523161	0.013624	
263576.661088	0.760218	0.231608	0.008174	
223212.622241	0.651226	0.343324	0.005450	
296947.239086	0.896458	0.092643	0.010899	
-144044.460982	0.523161	0.471390	0.005450	
153692.677018	0.697548	0.294278	0.008174	
86144.240225	0.591281	0.400545	0.008174	
-41706.117082	0.474114	0.512262	0.013624	
261550.954833	0.817439	0.174387	0.008174	
91304.577245	0.806540	0.106267	0.087193	
231342.379367	0.689373	0.305177	0.005450	
-674945.930482	0.414169	0.577657	0.008174	
221116.914164	0.768392	0.226158	0.005450	
144562.333500	0.613079	0.381471	0.005450	
88474.109877	0.675749	0.318801	0.005450	
-2159.577238	0.476839	0.446866	0.076294	
219949.779395	0.752044	0.242507	0.005450	
205576.487592	0.743869	0.234332	0.021798	
3099.275477	0.558583	0.397820	0.043597	
233159.996032	0.727520	0.253406	0.019074	
-364118.212317	0.523161	0.465940	0.010899	
124103.074469	0.569482	0.419619	0.010899	
116298.482309	0.534060	0.449591	0.016349	
141393.615610	0.678474	0.316076	0.005450	
137538.653277	0.602180	0.386921	0.010899	
-112341.966729	0.506812	0.476839	0.016349	
-228151.913948	0.542234	0.449591	0.008174	
22743.190912	0.572207	0.419619	0.008174	
253270.690598	0.787466	0.193460	0.019074	
169675.931386	0.539510	0.425068	0.035422	
-129965.220815	0.525886	0.463215	0.010899	
-18327.517736	0.547684	0.403270	0.049046	
192273.648631	0.689373	0.305177	0.005450	
-504602.794460	0.452316	0.536785	0.010899	
187890.170475	0.716621	0.267030	0.016349	
12433.218621	0.463215	0.490463	0.046322	
-139123.883336	0.534060	0.460490	0.005450	
257112.864573	0.730245	0.256131	0.013624	
72828.169362	0.577657	0.416894	0.005450	
137827.729255	0.643052	0.354223	0.002725	
154288.349723	0.659401	0.332425	0.008174	
-63057.036768	0.504087	0.430518	0.065395	
188318.875157	0.686649	0.264305	0.049046	
237644.142225	0.762943	0.231608	0.005450	
67184.919154	0.534060	0.444142	0.021798	
22573.401508	0.506812	0.455041	0.038147	
160802.957051	0.621253	0.373297	0.005450	
-24710.178486	0.585831	0.408719	0.005450	
40424.576758	0.602180	0.389646	0.008174	
-171635.379195	0.493188	0.487738	0.019074	
77646.176895	0.656676	0.277929	0.065395	
118614.322091	0.648501	0.337875	0.013624	
-108008.926076	0.498638	0.493188	0.008174	
-56099.373109	0.566757	0.425068	0.008174	
-527479.604166	0.435967	0.555858	0.008174	
-255170.383328	0.504087	0.485014	0.010899	
-177813.625989	0.659401	0.245232	0.095368	
-32673.054516	0.528610	0.463215	0.008174	
266480.401170	0.795640	0.193460	0.010899	
78537.579979	0.561308	0.427793	0.010899	
-454399.425987	0.471390	0.523161	0.005450	
-55546.844855	0.550409	0.446866	0.002725	
99161.314354	0.534060	0.457766	0.008174	
148983.643426	0.555858	0.435967	0.008174	
-2064.742544	0.517711	0.457766	0.024523	
-385140.759162	0.416894	0.574932	0.008174	
-47774.194946	0.487738	0.509537	0.002725	
-115314.981015	0.487738	0.506812	0.005450	
231444.607884	0.670300	0.316076	0.013624	
-218488.673212	0.452316	0.539510	0.008174	
291779.270111	0.874659	0.122616	0.002725	
-94191.044606	0.531335	0.381471	0.087193	
-243397.040653	0.517711	0.476839	0.005450	
-41652.448938	0.479564	0.517711	0.002725	
268162.167528	0.822888	0.155313	0.021798	
-287200.751034	0.495913	0.498638	0.005450	
-289898.314063	0.425068	0.569482	0.005450	
70862.092293	0.539510	0.452316	0.008174	
91201.174860	0.591281	0.400545	0.008174	
46202.708445	0.490463	0.501362	0.008174	
-196657.853480	0.564033	0.329700	0.106267	
-527183.452072	0.465940	0.525886	0.008174	
150452.344972	0.656676	0.337875	0.005450	
264881.955579	0.732970	0.258856	0.008174	
-807735.566161	0.645777	0.059946	0.294278	
-357644.165247	0.722071	0.068120	0.209809	
-674596.726717	0.653951	0.068120	0.277929	
-239351.930607	0.730245	0.092643	0.177112	
-212499.870475	0.741144	0.095368	0.163488	
-104747.739868	0.599455	0.237057	0.163488	
-507453.894285	0.659401	0.103542	0.237057	
-480306.951193	0.659401	0.103542	0.237057	
-283436.916740	0.653951	0.155313	0.190736	
-456395.752153	0.719346	0.054496	0.226158	
-496871.302934	0.618529	0.133515	0.247956	
-254839.661685	0.610354	0.242507	0.147139	
-617222.742921	0.648501	0.092643	0.258856	
-265849.201431	0.713896	0.125341	0.160763	
-639740.525981	0.645777	0.092643	0.261580	
-352522.596375	0.662125	0.130790	0.207084	
-429023.534576	0.645777	0.133515	0.220708	
-162043.842134	0.765668	0.084469	0.149864	
-445691.561643	0.664850	0.111717	0.223433	
-303653.280096	0.681199	0.136240	0.182561	
-468146.968342	0.629428	0.136240	0.234332	
-523032.790839	0.648501	0.117166	0.234332	
-16977.807119	0.749319	0.122616	0.128065	
-715440.036036	0.621253	0.095368	0.283379	
-477862.347739	0.692098	0.070845	0.237057	
-668478.446800	0.626703	0.095368	0.277929	
-843726.390737	0.634877	0.032698	0.332425	
-450345.799498	0.681199	0.106267	0.212534	
-795541.679313	0.594005	0.103542	0.302452	
-726210.477141	0.673025	0.049046	0.277929	
-688209.139678	0.659401	0.068120	0.272480	
-376907.642429	0.722071	0.070845	0.207084	
-555107.088503	0.626703	0.133515	0.239782	
-492220.434091	0.648501	0.122616	0.228883	
-292071.449696	0.689373	0.119891	0.190736	
-301871.883505	0.705722	0.092643	0.201635	
-442753.319563	0.686649	0.092643	0.220708	
-612361.253119	0.632153	0.100817	0.267030	
-457185.603976	0.618529	0.152589	0.228883	
-537160.646823	0.588556	0.163488	0.247956	
-253129.442896	0.670300	0.147139	0.182561	
