Training began at: 2018-01-01
Training completed at: 
A2C algorithm
Number of Products 4
State Setting: INV_BALANCE_PRODUCTION
Reward function: VALUE_ADD
Planning Time Horizon = 7
Random seed: 
==============================================================================
Episode Results: 
total_reward	on_time	late	not_shipped	
-447408.030148	0.430518	0.435967	0.133515	
244792.609367	0.686649	0.307902	0.005450	
-293680.090760	0.465940	0.487738	0.046322	
180289.701376	0.572207	0.422343	0.005450	
-254325.156944	0.435967	0.501362	0.062670	
-190917.195056	0.468665	0.476839	0.054496	
292761.688410	0.863760	0.136240	0.000000	
62245.352221	0.539510	0.446866	0.013624	
-25348.950502	0.471390	0.517711	0.010899	
-41205.291276	0.487738	0.512262	0.000000	
294688.780491	0.920981	0.079019	0.000000	
189342.069648	0.634877	0.356948	0.008174	
216503.543936	0.743869	0.237057	0.019074	
238650.382624	0.634877	0.359673	0.005450	
-532122.347141	0.446866	0.449591	0.103542	
16130.442792	0.528610	0.468665	0.002725	
-485975.443395	0.419619	0.501362	0.079019	
-155580.952039	0.471390	0.528610	0.000000	
262873.082993	0.836512	0.149864	0.013624	
245076.701395	0.686649	0.310627	0.002725	
272327.592338	0.861035	0.128065	0.010899	
-93804.671325	0.487738	0.501362	0.010899	
-465663.033514	0.419619	0.444142	0.136240	
-398495.559626	0.441417	0.506812	0.051771	
-507776.745329	0.422343	0.495913	0.081744	
204505.302376	0.719346	0.275204	0.005450	
-729960.138128	0.392371	0.476839	0.130790	
-73942.123205	0.403270	0.525886	0.070845	
51182.083908	0.534060	0.422343	0.043597	
250904.116211	0.732970	0.253406	0.013624	
-162529.785858	0.441417	0.506812	0.051771	
-41168.992606	0.441417	0.544959	0.013624	
104685.735881	0.610354	0.362398	0.027248	
279374.689101	0.784741	0.204360	0.010899	
-183739.209340	0.405995	0.577657	0.016349	
-84980.229144	0.495913	0.490463	0.013624	
-755404.037719	0.408719	0.438692	0.152589	
-370679.892280	0.455041	0.514986	0.029973	
-311670.513456	0.446866	0.457766	0.095368	
-190789.317181	0.422343	0.564033	0.013624	
194292.500035	0.618529	0.376022	0.005450	
285554.340371	0.855586	0.133515	0.010899	
269519.596235	0.836512	0.163488	0.000000	
-193771.796963	0.408719	0.588556	0.002725	
-487457.611010	0.419619	0.430518	0.149864	
91247.566444	0.572207	0.419619	0.008174	
230960.331808	0.683924	0.310627	0.005450	
304282.111187	0.945504	0.043597	0.010899	
-333697.105216	0.397820	0.536785	0.065395	
-347918.803582	0.430518	0.493188	0.076294	
228570.027404	0.694823	0.297003	0.008174	
-471130.066268	0.376022	0.550409	0.073569	
293615.298939	0.869210	0.122616	0.008174	
285374.884855	0.891008	0.092643	0.016349	
267499.735918	0.708447	0.286104	0.005450	
-527972.151033	0.378747	0.427793	0.193460	
234083.227802	0.765668	0.228883	0.005450	
194299.560334	0.637602	0.356948	0.005450	
202430.374439	0.651226	0.343324	0.005450	
-375624.945045	0.446866	0.547684	0.005450	
221785.262732	0.754768	0.239782	0.005450	
192938.640095	0.686649	0.291553	0.021798	
-547596.661806	0.435967	0.452316	0.111717	
87830.400584	0.536785	0.449591	0.013624	
-413142.417182	0.465940	0.460490	0.073569	
-335991.649169	0.441417	0.523161	0.035422	
-174530.397778	0.452316	0.531335	0.016349	
-41737.760384	0.504087	0.490463	0.005450	
-197710.967279	0.474114	0.449591	0.076294	
136859.372625	0.615804	0.367847	0.016349	
-378962.904588	0.468665	0.506812	0.024523	
-57283.236625	0.487738	0.504087	0.008174	
206429.168590	0.664850	0.324251	0.010899	
203710.842453	0.604905	0.386921	0.008174	
-995881.674704	0.441417	0.397820	0.160763	
-150934.869024	0.465940	0.525886	0.008174	
107008.121993	0.643052	0.348774	0.008174	
-159214.020219	0.471390	0.517711	0.010899	
121294.310952	0.596730	0.403270	0.000000	
-499058.841667	0.441417	0.455041	0.103542	
-39436.605188	0.495913	0.498638	0.005450	
-615207.386778	0.452316	0.452316	0.095368	
32945.649652	0.493188	0.482289	0.024523	
82519.754600	0.585831	0.411444	0.002725	
56538.582861	0.629428	0.362398	0.008174	
-297599.293988	0.422343	0.566757	0.010899	
211695.718230	0.626703	0.362398	0.010899	
130049.562016	0.678474	0.316076	0.005450	
-532931.546453	0.457766	0.457766	0.084469	
-529341.073293	0.414169	0.460490	0.125341	
-253844.695940	0.525886	0.403270	0.070845	
-646874.463401	0.485014	0.381471	0.133515	
-52525.132802	0.495913	0.495913	0.008174	
-232530.946437	0.512262	0.444142	0.043597	
61187.389309	0.479564	0.514986	0.005450	
-86402.051534	0.482289	0.495913	0.021798	
71609.244855	0.514986	0.476839	0.008174	
-581725.886086	0.487738	0.356948	0.155313	
-756521.648751	0.411444	0.476839	0.111717	
-680442.146650	0.427793	0.514986	0.057221	
-395126.474045	0.346049	0.558583	0.095368	
-205064.890941	0.438692	0.471390	0.089918	
266499.081419	0.795640	0.193460	0.010899	
-524342.141998	0.457766	0.427793	0.114441	
-772587.679766	0.444142	0.416894	0.138965	
-642421.122375	0.425068	0.419619	0.155313	
-434829.133622	0.414169	0.498638	0.087193	
173300.156624	0.558583	0.433243	0.008174	
-763991.031494	0.403270	0.433243	0.163488	
-9013.979450	0.416894	0.569482	0.013624	
43381.441669	0.444142	0.553134	0.002725	
83947.952671	0.536785	0.457766	0.005450	
272611.399128	0.741144	0.245232	0.013624	
-91648.760293	0.411444	0.531335	0.057221	
290748.581743	0.863760	0.133515	0.002725	
137451.227077	0.487738	0.498638	0.013624	
-358578.997723	0.457766	0.536785	0.005450	
-145267.466507	0.446866	0.490463	0.062670	
280465.662605	0.831063	0.158038	0.010899	
-642343.544541	0.463215	0.463215	0.073569	
-761147.929441	0.373297	0.405995	0.220708	
218353.199561	0.711172	0.280654	0.008174	
146278.461657	0.613079	0.378747	0.008174	
-267941.580429	0.422343	0.444142	0.133515	
-327079.796200	0.452316	0.528610	0.019074	
