Training began at: 2018-01-01
Training completed at: 
A2C algorithm
Number of Products 4
State Setting: INVENTORY
Reward function: VALUE_ADD
Planning Time Horizon = 7
Random seed: 
==============================================================================
Episode Results: 
total_reward	on_time	late	not_shipped	
19494.429198	0.632653	0.326531	0.040816	
28866.583870	0.795918	0.163265	0.040816	
13286.348235	0.530612	0.448980	0.020408	
30779.997530	0.857143	0.122449	0.020408	
28278.355671	0.836735	0.122449	0.040816	
23124.422436	0.632653	0.326531	0.040816	
27716.564618	0.795918	0.204082	0.000000	
31378.985213	0.897959	0.081633	0.020408	
20719.422299	0.653061	0.306122	0.040816	
22801.666593	0.612245	0.326531	0.061224	
22757.862237	0.836735	0.163265	0.000000	
29169.419979	0.857143	0.142857	0.000000	
26691.143810	0.734694	0.224490	0.040816	
21593.087390	0.612245	0.367347	0.020408	
29248.070020	0.775510	0.204082	0.020408	
3181.692554	0.510204	0.448980	0.040816	
22882.856926	0.795918	0.204082	0.000000	
14900.178790	0.551020	0.408163	0.040816	
29544.542365	0.836735	0.142857	0.020408	
30913.212740	0.857143	0.122449	0.020408	
27124.674382	0.775510	0.183673	0.040816	
27080.682272	0.795918	0.163265	0.040816	
23803.466017	0.632653	0.306122	0.061224	
-22223.647724	0.285714	0.673469	0.040816	
28223.085295	0.836735	0.142857	0.020408	
25722.910674	0.653061	0.285714	0.061224	
23786.122741	0.755102	0.244898	0.000000	
25411.009177	0.816327	0.142857	0.040816	
29371.976556	0.816327	0.163265	0.020408	
21272.912188	0.734694	0.265306	0.000000	
13343.796796	0.571429	0.387755	0.040816	
31639.368164	0.897959	0.081633	0.020408	
30837.101965	0.877551	0.102041	0.020408	
25505.017038	0.612245	0.326531	0.061224	
18843.118497	0.673469	0.306122	0.020408	
27419.856453	0.755102	0.224490	0.020408	
27474.292020	0.795918	0.183673	0.020408	
29111.488776	0.857143	0.122449	0.020408	
32804.908731	0.897959	0.102041	0.000000	
29030.548408	0.857143	0.102041	0.040816	
31143.367051	0.836735	0.122449	0.040816	
18978.907596	0.653061	0.285714	0.061224	
28408.367975	0.816327	0.163265	0.020408	
28426.382804	0.816327	0.163265	0.020408	
27509.559952	0.775510	0.204082	0.020408	
19061.632754	0.551020	0.408163	0.040816	
30732.751459	0.897959	0.102041	0.000000	
30005.835344	0.816327	0.163265	0.020408	
29686.880933	0.816327	0.142857	0.040816	
29179.576399	0.755102	0.204082	0.040816	
30819.438084	0.836735	0.163265	0.000000	
19141.670426	0.673469	0.306122	0.020408	
19560.908968	0.714286	0.265306	0.020408	
30873.193931	0.877551	0.102041	0.020408	
28749.987347	0.755102	0.204082	0.040816	
22128.855317	0.693878	0.265306	0.040816	
22198.474107	0.673469	0.285714	0.040816	
29097.030250	0.857143	0.142857	0.000000	
28460.398900	0.795918	0.142857	0.061224	
-21960.174853	0.244898	0.469388	0.285714	
29030.910837	0.836735	0.163265	0.000000	
25747.501986	0.775510	0.142857	0.081633	
23826.099518	0.734694	0.244898	0.020408	
28708.642614	0.816327	0.142857	0.040816	
28578.114349	0.775510	0.183673	0.040816	
27901.512195	0.816327	0.142857	0.040816	
-5439.848446	0.326531	0.571429	0.102041	
25186.433371	0.755102	0.204082	0.040816	
28176.033183	0.734694	0.224490	0.040816	
20271.075497	0.673469	0.265306	0.061224	
31007.124848	0.877551	0.122449	0.000000	
22660.893042	0.673469	0.306122	0.020408	
25274.279613	0.693878	0.265306	0.040816	
22459.331246	0.755102	0.204082	0.040816	
25194.393030	0.693878	0.265306	0.040816	
20909.652212	0.653061	0.306122	0.040816	
30191.728828	0.816327	0.142857	0.040816	
21600.434284	0.714286	0.244898	0.040816	
14052.005011	0.408163	0.591837	0.000000	
27548.160410	0.775510	0.142857	0.081633	
26022.718679	0.775510	0.183673	0.040816	
29974.215478	0.836735	0.163265	0.000000	
12032.767774	0.489796	0.489796	0.020408	
-13958.101392	0.326531	0.591837	0.081633	
29457.380789	0.877551	0.081633	0.040816	
25978.965982	0.714286	0.224490	0.061224	
27196.418829	0.755102	0.244898	0.000000	
21861.301480	0.673469	0.244898	0.081633	
13259.921140	0.530612	0.428571	0.040816	
-3505.104960	0.408163	0.530612	0.061224	
26082.340486	0.734694	0.244898	0.020408	
23730.872229	0.489796	0.510204	0.000000	
30561.823757	0.857143	0.081633	0.061224	
30947.849027	0.836735	0.122449	0.040816	
11126.570438	0.510204	0.489796	0.000000	
28099.115585	0.755102	0.163265	0.081633	
24918.324777	0.775510	0.183673	0.040816	
24880.595115	0.673469	0.306122	0.020408	
28295.867239	0.857143	0.102041	0.040816	
27297.744060	0.775510	0.183673	0.040816	
-27793.754518	0.183673	0.591837	0.224490	
24650.235361	0.673469	0.224490	0.102041	
15424.956539	0.612245	0.367347	0.020408	
1665.681375	0.428571	0.551020	0.020408	
27929.370828	0.816327	0.163265	0.020408	
26878.441908	0.755102	0.224490	0.020408	
26935.310815	0.816327	0.142857	0.040816	
26568.306236	0.775510	0.204082	0.020408	
31466.419658	0.897959	0.081633	0.020408	
29580.465308	0.877551	0.081633	0.040816	
24147.058987	0.653061	0.306122	0.040816	
28679.737669	0.816327	0.183673	0.000000	
28665.097642	0.857143	0.142857	0.000000	
15057.892449	0.469388	0.510204	0.020408	
30137.536222	0.816327	0.163265	0.020408	
8378.233680	0.632653	0.367347	0.000000	
31131.487093	0.877551	0.081633	0.040816	
31048.164339	0.877551	0.102041	0.020408	
19396.880246	0.612245	0.346939	0.040816	
22622.919768	0.673469	0.285714	0.040816	
22871.078100	0.714286	0.224490	0.061224	
21741.082437	0.591837	0.346939	0.061224	
31786.303297	0.897959	0.061224	0.040816	
27824.563573	0.836735	0.163265	0.000000	
30144.518228	0.877551	0.102041	0.020408	
25659.313950	0.755102	0.204082	0.040816	
29007.516702	0.857143	0.142857	0.000000	
27745.472063	0.714286	0.285714	0.000000	
31977.614532	0.918367	0.081633	0.000000	
28010.784166	0.734694	0.265306	0.000000	
26910.351151	0.755102	0.224490	0.020408	
28683.769028	0.836735	0.163265	0.000000	
31240.810902	0.897959	0.081633	0.020408	
29945.745361	0.816327	0.142857	0.040816	
18420.816382	0.591837	0.367347	0.040816	
