Training began at: 2018-01-01
Training completed at: 
A2C algorithm
Number of Products 4
State Setting: INVENTORY
Reward function: VALUE_ADD
Planning Time Horizon = 7
Random seed: 
==============================================================================
Episode Results: 
total_reward	on_time	late	not_shipped	
-8533.028880	0.571429	0.183673	0.244898	
-3449.572807	0.653061	0.142857	0.204082	
8054.875401	0.571429	0.183673	0.244898	
-8788.224094	0.489796	0.142857	0.367347	
19059.593327	0.795918	0.102041	0.102041	
21021.643688	0.653061	0.265306	0.081633	
-37223.237293	0.408163	0.040816	0.551020	
31384.026335	0.897959	0.081633	0.020408	
28006.493805	0.816327	0.142857	0.040816	
23030.242111	0.714286	0.224490	0.061224	
10266.199684	0.857143	0.020408	0.122449	
31546.940161	0.918367	0.081633	0.000000	
2951.936496	0.591837	0.224490	0.183673	
5109.953470	0.489796	0.244898	0.265306	
6167.033033	0.673469	0.163265	0.163265	
-60088.658640	0.387755	0.081633	0.530612	
12448.276887	0.775510	0.122449	0.102041	
-71620.806453	0.367347	0.040816	0.591837	
1042.524175	0.653061	0.040816	0.306122	
16222.752557	0.755102	0.102041	0.142857	
4924.384578	0.673469	0.122449	0.204082	
-27131.799997	0.428571	0.081633	0.489796	
-53930.404709	0.183673	0.224490	0.591837	
21414.092945	0.571429	0.387755	0.040816	
29446.037583	0.857143	0.122449	0.020408	
-69612.804589	0.163265	0.142857	0.693878	
-110450.093062	0.142857	0.040816	0.816327	
-39046.144766	0.448980	0.040816	0.510204	
29731.843412	0.816327	0.163265	0.020408	
-2032.453951	0.551020	0.183673	0.265306	
-90785.676812	0.163265	0.081633	0.755102	
15295.188126	0.775510	0.081633	0.142857	
-86555.642131	0.183673	0.040816	0.775510	
-78093.340959	0.102041	0.142857	0.755102	
-38938.380883	0.326531	0.081633	0.591837	
-71306.504529	0.326531	0.081633	0.591837	
-21913.123694	0.387755	0.183673	0.428571	
21749.558416	0.795918	0.183673	0.020408	
13534.707738	0.755102	0.102041	0.142857	
29173.237779	0.857143	0.102041	0.040816	
-2768.046077	0.551020	0.102041	0.346939	
30201.599026	0.836735	0.102041	0.061224	
-75226.210381	0.306122	0.020408	0.673469	
-14664.832991	0.612245	0.081633	0.306122	
1165.319193	0.693878	0.142857	0.163265	
-40160.946736	0.183673	0.285714	0.530612	
8599.024197	0.693878	0.102041	0.204082	
-3329.299128	0.571429	0.122449	0.306122	
5732.623554	0.551020	0.142857	0.306122	
24049.403169	0.755102	0.204082	0.040816	
-67083.752785	0.244898	0.102041	0.653061	
-862.019868	0.734694	0.081633	0.183673	
-45183.268574	0.448980	0.040816	0.510204	
-334.117082	0.653061	0.020408	0.326531	
-33048.602005	0.367347	0.142857	0.489796	
-6888.060791	0.489796	0.204082	0.306122	
-76092.907875	0.122449	0.183673	0.693878	
-53509.990351	0.163265	0.122449	0.714286	
27252.748110	0.795918	0.142857	0.061224	
-110163.021846	0.183673	0.020408	0.795918	
-76218.749557	0.244898	0.061224	0.693878	
-6907.827723	0.673469	0.061224	0.265306	
-48979.966761	0.306122	0.163265	0.530612	
10215.937387	0.734694	0.102041	0.163265	
-101566.669863	0.142857	0.020408	0.836735	
28706.784198	0.836735	0.122449	0.040816	
22716.943873	0.673469	0.306122	0.020408	
-6398.126193	0.693878	0.081633	0.224490	
9271.059440	0.612245	0.163265	0.224490	
-96916.231963	0.163265	0.000000	0.836735	
16559.828023	0.775510	0.102041	0.122449	
-113131.366228	0.122449	0.020408	0.857143	
-65712.273629	0.244898	0.102041	0.653061	
-55592.707339	0.204082	0.102041	0.693878	
-89854.911468	0.183673	0.081633	0.734694	
-69866.871766	0.265306	0.040816	0.693878	
-28884.710740	0.367347	0.122449	0.510204	
-20854.627357	0.551020	0.142857	0.306122	
-39894.424310	0.244898	0.183673	0.571429	
27528.522765	0.775510	0.142857	0.081633	
-85720.086355	0.204082	0.040816	0.755102	
27017.745129	0.836735	0.142857	0.020408	
-54297.692336	0.306122	0.142857	0.551020	
-69140.294299	0.224490	0.040816	0.734694	
-38700.708459	0.346939	0.061224	0.591837	
-18230.346243	0.326531	0.224490	0.448980	
27423.661622	0.836735	0.122449	0.040816	
-20256.690148	0.530612	0.061224	0.408163	
-57757.486326	0.224490	0.224490	0.551020	
26819.877538	0.795918	0.142857	0.061224	
-83122.794030	0.142857	0.040816	0.816327	
-51659.921790	0.285714	0.265306	0.448980	
364.938053	0.693878	0.081633	0.224490	
12094.665154	0.693878	0.122449	0.183673	
-101906.863207	0.244898	0.000000	0.755102	
15383.801738	0.714286	0.142857	0.142857	
-32704.230848	0.448980	0.061224	0.489796	
-84840.191290	0.326531	0.040816	0.632653	
-11017.296732	0.612245	0.102041	0.285714	
-29589.652270	0.346939	0.183673	0.469388	
-92454.409720	0.142857	0.000000	0.857143	
-25726.561732	0.326531	0.224490	0.448980	
-92304.651099	0.224490	0.040816	0.734694	
-67583.484823	0.346939	0.061224	0.591837	
-3076.953722	0.673469	0.081633	0.244898	
-106486.188589	0.142857	0.061224	0.795918	
26703.913391	0.795918	0.142857	0.061224	
-64272.491672	0.346939	0.020408	0.632653	
-6666.582353	0.653061	0.040816	0.306122	
-8078.058434	0.673469	0.040816	0.285714	
25920.628489	0.714286	0.244898	0.040816	
-17423.411809	0.571429	0.142857	0.285714	
-21490.532526	0.408163	0.122449	0.469388	
-79344.251502	0.306122	0.061224	0.632653	
-61970.312142	0.285714	0.081633	0.632653	
-57562.954174	0.428571	0.000000	0.571429	
-9537.513466	0.530612	0.081633	0.387755	
-83473.159550	0.102041	0.020408	0.877551	
-93465.008648	0.224490	0.020408	0.755102	
-88694.856667	0.244898	0.020408	0.734694	
-63343.061966	0.306122	0.102041	0.591837	
-44858.357789	0.367347	0.061224	0.571429	
29710.859031	0.836735	0.122449	0.040816	
23193.512069	0.795918	0.142857	0.061224	
-54268.252640	0.265306	0.081633	0.653061	
-68354.293679	0.326531	0.040816	0.632653	
-55524.094215	0.387755	0.061224	0.551020	
29182.045004	0.816327	0.183673	0.000000	
-4484.778257	0.530612	0.122449	0.346939	
-56533.021241	0.265306	0.102041	0.632653	
-46533.535967	0.265306	0.163265	0.571429	
-57218.271857	0.306122	0.081633	0.612245	
30882.747448	0.877551	0.102041	0.020408	
-28913.385815	0.367347	0.102041	0.530612	
-121261.468959	0.122449	0.000000	0.877551	
-44670.583030	0.265306	0.163265	0.571429	
24289.551456	0.734694	0.142857	0.122449	
-20020.896070	0.387755	0.163265	0.448980	
-15893.104801	0.571429	0.142857	0.285714	
-28003.835241	0.408163	0.142857	0.448980	
26782.996730	0.755102	0.183673	0.061224	
-60992.223132	0.204082	0.061224	0.734694	
-553.262071	0.755102	0.040816	0.204082	
